monotonic_s,running_reqs_sum,queue_reqs_sum,gen_throughput_sum,decode_sum_seq_lens_sum,num_servers_sampled
212.3,1733.0,256.0,8953.954617905081,1424025.0,8
212.4,1740.0,257.0,8953.954617905081,1424025.0,8
212.5,1746.0,256.0,8953.954617905081,1424025.0,8
212.6,1742.0,259.0,8953.954617905081,1424025.0,8
212.7,1730.0,263.0,8953.954617905081,1424025.0,8
212.8,1721.0,269.0,8953.954617905081,1424025.0,8
212.9,1722.0,274.0,8953.954617905081,1424025.0,8
213.0,1707.0,286.0,8953.954617905081,1424025.0,8
213.1,1694.0,292.0,8953.954617905081,1424025.0,8
213.2,1675.0,305.0,8953.954617905081,1424025.0,8
213.3,1675.0,307.0,8953.954617905081,1424025.0,8
213.4,1665.0,318.0,8953.954617905081,1424025.0,8
213.5,1659.0,321.0,8953.954617905081,1424025.0,8
213.6,1648.0,328.0,8953.954617905081,1424025.0,8
213.7,1651.0,328.0,8953.954617905081,1424025.0,8
213.8,1651.0,334.0,8953.954617905081,1424025.0,8
213.9,1648.0,339.0,8953.954617905081,1424025.0,8
214.0,1638.0,348.0,8953.954617905081,1424025.0,8
214.1,1618.0,357.0,8953.954617905081,1424025.0,8
214.2,1599.0,366.0,8953.954617905081,1424025.0,8
214.3,1601.0,369.0,8953.954617905081,1424025.0,8
214.4,1598.0,370.0,8953.954617905081,1424025.0,8
214.5,1589.0,381.0,8953.954617905081,1424025.0,8
214.6,1596.0,382.0,8953.954617905081,1424025.0,8
214.7,1580.0,383.0,8953.954617905081,1424025.0,8
214.8,1568.0,390.0,8953.954617905081,1424025.0,8
214.9,1562.0,393.0,8953.954617905081,1424025.0,8
215.0,1550.0,396.0,8953.954617905081,1424025.0,8
215.1,1551.0,395.0,8953.954617905081,1424025.0,8
215.2,1545.0,398.0,8953.954617905081,1424025.0,8
215.3,1530.0,411.0,8953.954617905081,1424025.0,8
215.4,1522.0,416.0,8953.954617905081,1424025.0,8
215.5,1516.0,422.0,8953.954617905081,1424025.0,8
215.6,1489.0,436.0,8953.954617905081,1424025.0,8
215.7,1471.0,445.0,8953.954617905081,1424025.0,8
215.8,1464.0,453.0,8953.954617905081,1424025.0,8
215.9,1460.0,463.0,8953.954617905081,1424025.0,8
216.0,1455.0,467.0,8953.954617905081,1424025.0,8
216.1,1441.0,476.0,8953.954617905081,1424025.0,8
216.2,1409.0,493.0,8953.954617905081,1424025.0,8
216.3,1410.0,497.0,8953.954617905081,1424025.0,8
216.4,1409.0,507.0,8953.954617905081,1424025.0,8
216.5,1396.0,514.0,8953.954617905081,1424025.0,8
216.6,1390.0,516.0,8953.954617905081,1424025.0,8
216.7,1378.0,522.0,8953.954617905081,1424025.0,8
216.8,1385.0,523.0,8953.954617905081,1424025.0,8
216.9,1383.0,524.0,8953.954617905081,1424025.0,8
217.0,1368.0,530.0,8953.954617905081,1424025.0,8
217.1,1371.0,528.0,8953.954617905081,1424025.0,8
217.2,1358.0,536.0,8953.954617905081,1424025.0,8
217.3,1351.0,541.0,8953.954617905081,1424025.0,8
217.4,1349.0,548.0,8953.954617905081,1424025.0,8
217.5,1347.0,550.0,8953.954617905081,1424025.0,8
217.6,1348.0,549.0,8953.954617905081,1424025.0,8
217.7,1332.0,552.0,8953.954617905081,1424025.0,8
217.8,1329.0,554.0,8953.954617905081,1424025.0,8
217.9,1328.0,556.0,8953.954617905081,1424025.0,8
218.0,1319.0,561.0,8953.954617905081,1424025.0,8
218.1,1309.0,564.0,8953.954617905081,1424025.0,8
218.2,1304.0,565.0,8953.954617905081,1424025.0,8
218.3,1298.0,567.0,8953.954617905081,1424025.0,8
218.4,1299.0,566.0,8953.954617905081,1424025.0,8
218.5,1295.0,566.0,8953.954617905081,1424025.0,8
218.6,1295.0,565.0,8953.954617905081,1424025.0,8
218.7,1284.0,561.0,8953.954617905081,1424025.0,8
218.8,1279.0,561.0,8953.954617905081,1424025.0,8
218.9,1274.0,558.0,8953.954617905081,1424025.0,8
219.0,1267.0,554.0,8953.954617905081,1424025.0,8
219.1,1273.0,564.0,8953.954617905081,1424025.0,8
219.2,1274.0,562.0,8953.954617905081,1424025.0,8
219.3,1267.0,561.0,8953.954617905081,1424025.0,8
219.4,1267.0,561.0,8953.954617905081,1424025.0,8
219.5,1273.0,560.0,8745.567808867383,1431026.0,8
219.6,1274.0,560.0,8525.333754672345,1436996.0,8
219.7,1272.0,558.0,8525.333754672345,1436996.0,8
219.8,1268.0,561.0,7859.406416234768,1473316.0,8
219.9,1264.0,563.0,7859.406416234768,1473316.0,8
220.0,1265.0,565.0,7678.107623998114,1480400.0,8
220.1,1264.0,567.0,7460.533825923816,1484942.0,8
220.2,1259.0,565.0,7460.533825923816,1484942.0,8
220.3,1254.0,563.0,7460.533825923816,1484942.0,8
220.4,1251.0,562.0,7460.533825923816,1484942.0,8
220.5,1250.0,560.0,7460.533825923816,1484942.0,8
220.6,1249.0,557.0,7460.533825923816,1484942.0,8
220.7,1241.0,556.0,7460.533825923816,1484942.0,8
220.8,1241.0,557.0,7460.533825923816,1484942.0,8
220.9,1239.0,555.0,7460.533825923816,1484942.0,8
221.0,1236.0,556.0,7460.533825923816,1484942.0,8
221.1,1224.0,553.0,7460.533825923816,1484942.0,8
221.2,1223.0,552.0,7460.533825923816,1484942.0,8
221.3,1221.0,550.0,7460.533825923816,1484942.0,8
221.4,1220.0,550.0,7460.533825923816,1484942.0,8
221.5,1228.0,549.0,7460.533825923816,1484942.0,8
221.6,1225.0,544.0,7460.533825923816,1484942.0,8
221.7,1226.0,543.0,7460.533825923816,1484942.0,8
221.8,1216.0,542.0,7460.533825923816,1484942.0,8
221.9,1217.0,542.0,7460.533825923816,1484942.0,8
222.0,1214.0,544.0,7460.533825923816,1484942.0,8
222.1,1214.0,544.0,7460.533825923816,1484942.0,8
222.2,1206.0,541.0,7460.533825923816,1484942.0,8
222.3,1200.0,542.0,7460.533825923816,1484942.0,8
222.4,1202.0,540.0,7460.533825923816,1484942.0,8
222.5,1200.0,537.0,7460.533825923816,1484942.0,8
222.6,1205.0,536.0,7460.533825923816,1484942.0,8
222.7,1202.0,537.0,7460.533825923816,1484942.0,8
222.8,1205.0,536.0,7460.533825923816,1484942.0,8
222.9,1201.0,533.0,7460.533825923816,1484942.0,8
223.0,1201.0,530.0,7460.533825923816,1484942.0,8
223.1,1197.0,529.0,7460.533825923816,1484942.0,8
223.2,1199.0,531.0,7460.533825923816,1484942.0,8
223.3,1202.0,531.0,7460.533825923816,1484942.0,8
223.4,1201.0,529.0,7460.533825923816,1484942.0,8
223.5,1196.0,526.0,7460.533825923816,1484942.0,8
223.6,1187.0,528.0,7460.533825923816,1484942.0,8
223.7,1183.0,530.0,7460.533825923816,1484942.0,8
223.8,1188.0,530.0,7460.533825923816,1484942.0,8
223.9,1184.0,530.0,7460.533825923816,1484942.0,8
224.0,1187.0,533.0,7460.533825923816,1484942.0,8
224.1,1185.0,535.0,7460.533825923816,1484942.0,8
224.2,1178.0,535.0,7460.533825923816,1484942.0,8
224.3,1176.0,534.0,7460.533825923816,1484942.0,8
224.4,1159.0,541.0,7460.533825923816,1484942.0,8
224.5,1155.0,542.0,7460.533825923816,1484942.0,8
224.6,1157.0,543.0,7460.533825923816,1484942.0,8
224.7,1159.0,544.0,7460.533825923816,1484942.0,8
224.8,1157.0,547.0,7460.533825923816,1484942.0,8
224.9,1146.0,550.0,7460.533825923816,1484942.0,8
225.0,1144.0,551.0,7460.533825923816,1484942.0,8
225.1,1144.0,551.0,7460.533825923816,1484942.0,8
225.2,1142.0,553.0,7460.533825923816,1484942.0,8
